apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,icon,moonPhase,precipAccumulation,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,summary,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed
36.34,1333188780,23.96,1333256040,40.06,1333144800,31.84,1333223760,0.71,33.58,0.7,rain,0.28,,0.0005,0.0049,1333180920.0,0.92,rain,Drizzle in the morning and afternoon.,1333168980,1333215600,45.2,1333188960,29.6,1333256040,47.01,1333157640,38.59,1333218000,1333144800,3.0,1333192200.0,6.1739999999999995,302,40.29,1333162620.0,17.31
34.94,1323605040,23.68,1323659100,34.94,1323605040,25.47,1323586860,0.56,29.15,0.76,partly-cloudy-day,0.54,,0.0,0.0,,0.0,,Mostly cloudy throughout the day.,1323587280,1323615240,41.55,1323605040,30.5,1323655200,41.55,1323605040,32.7,1323588960,1323558000,0.0,1323601080.0,6.212000000000001,220,15.03,1323561060.0,9.66
73.67,1313241960,59.0,1313276400,73.67,1313241960,60.54,1313194740,0.56,55.77,0.72,partly-cloudy-day,0.5,,0.0,0.0,,0.0,,Partly cloudy throughout the day.,1313207220,1313260740,74.17,1313241960,58.51,1313276400,74.17,1313241960,59.87,1313195400,1313186400,5.0,1313233980.0,5.803,262,10.02,1313240160.0,5.37
50.77,1322408400,33.91,1322463600,50.77,1322408400,39.79,1322348400,0.73,40.02,0.73,wind,0.1,,0.0,0.0,,0.0,,Windy in the evening.,1322376600,1322406060,50.66,1322408400,39.44,1322463600,50.66,1322408400,45.92,1322348400,1322348400,1.0,1322391300.0,6.216,243,41.17,1322412300.0,19.56
42.45,1329573780,28.71,1329634800,42.45,1329573780,30.32,1329527400,0.79,36.41,0.84,partly-cloudy-day,0.9,,0.0,0.0,,0.0,,Drizzle overnight.,1329545940,1329582300,47.53,1329576480,35.89,1329634800,47.53,1329576480,34.83,1329526920,1329519600,1.0,1329564000.0,5.507999999999999,213,14.99,1329588000.0,8.17
30.79,1327075200,26.65,1327101660,31.05,1327088340,24.14,1327039620,0.69,33.35,0.89,rain,0.91,,0.0009,0.0121,1327042800.0,0.98,rain,Drizzle in the morning and afternoon.,1327043160,1327073400,37.9,1327075200,34.36,1327103820,38.3,1327014000,33.54,1327039260,1327014000,1.0,1327058160.0,5.725,266,17.25,1327014000.0,12.07
20.3,1328356320,-6.25,1328418000,20.3,1328356320,1.14,1328333520,0.41,5.82,0.8,partly-cloudy-day,0.39,,0.0,0.0,,0.0,,Partly cloudy throughout the day.,1328337900,1328371080,21.88,1328361600,0.82,1328419560,21.88,1328361600,0.65,1328333520,1328310000,1.0,1328353800.0,6.096,294,7.01,1328371200.0,2.72
61.14,1335007740,40.13,1335073980,61.14,1335007740,37.69,1334984160,0.5,37.91,0.62,partly-cloudy-day,0.01,,0.0,0.0,,0.0,,Partly cloudy throughout the day.,1334980560,1335032220,61.64,1335007740,44.08,1335070800,61.64,1335007740,40.11,1334983320,1334959200,5.0,1335006780.0,6.21,197,,,7.38
62.96,1316340480,51.35,1316406600,64.32,1316296800,55.38,1316373600,0.79,58.09,0.92,rain,0.69,,0.0232,0.0625,1316309760.0,1.0,rain,Light rain throughout the day.,1316321160,1316366280,63.23,1316349600,50.86,1316406600,64.82,1316296800,54.89,1316373600,1316296800,3.0,1316343600.0,6.126,191,12.04,1316304120.0,6.66
53.31,1319374800,30.36,1319410380,53.31,1319374800,26.53,1319346000,,34.46,0.77,,0.88,,0.0,0.0005,1319371740.0,0.09,,,1319348820,1319385420,53.81,1319374800,36.81,1319408880,53.81,1319374800,32.91,1319346000,1319320800,0.0,1319320800.0,6.06,116,15.0,1319378460.0,9.71
